method,seed,learn_step,learn_task,eval_task_index,eval_task,n,cpa_n,fde,risk_fde,train_seconds
reservoir,7,6,GL,3,ZS2,1043,276,1.1832057237625122,1.1084216833114624,194.0261836000136
reservoir,7,6,GL,4,OF,568,28,3.086754560470581,2.705054998397827,194.0261836000136
reservoir,7,6,GL,5,EP0,556,106,1.9220356941223145,1.9466087818145752,194.0261836000136
reservoir,7,6,GL,6,GL,3050,241,1.7309476137161257,1.7421852350234983,194.0261836000136
reservoir,7,7,ZS0,0,MA,1178,126,2.354299783706665,2.718644380569458,197.76322209998037
reservoir,7,7,ZS0,1,FT,2452,138,2.630788564682007,2.842081308364868,197.76322209998037
reservoir,7,7,ZS0,2,LN,238,6,1.9293954372406008,3.00886607170105,197.76322209998037
reservoir,7,7,ZS0,3,ZS2,1043,276,1.1755424737930298,0.9839354753494264,197.76322209998037
reservoir,7,7,ZS0,4,OF,568,28,3.208456039428711,3.247082233428955,197.76322209998037
reservoir,7,7,ZS0,5,EP0,556,106,2.2119927406311035,2.176790952682495,197.76322209998037
reservoir,7,7,ZS0,6,GL,3050,241,1.8997477293014529,1.992270827293396,197.76322209998037
reservoir,7,7,ZS0,7,ZS0,1084,2,1.0037647485733032,1.1392534971237185,197.76322209998037
reservoir,11,0,MA,0,MA,1178,126,2.532744884490967,2.373590469360352,116.25754139997298
reservoir,11,1,FT,0,MA,1178,126,2.3591561317443848,2.3210105895996094,219.745511199988
reservoir,11,1,FT,1,FT,2452,138,2.673423767089844,2.6327500343322754,219.745511199988
reservoir,11,2,LN,0,MA,1178,126,2.338611364364624,2.28884506225586,237.46505320002325
reservoir,11,2,LN,1,FT,2452,138,2.5119078159332275,2.4989538192749023,237.46505320002325
reservoir,11,2,LN,2,LN,238,6,1.778335452079773,3.499587059020996,237.46505320002325
reservoir,11,3,ZS2,0,MA,1178,126,2.353994607925415,2.2004783153533936,220.7768251000089
reservoir,11,3,ZS2,1,FT,2452,138,2.571553945541382,2.7453107833862305,220.7768251000089
reservoir,11,3,ZS2,2,LN,238,6,1.9389466047286987,3.387516021728516,220.7768251000089
reservoir,11,3,ZS2,3,ZS2,1043,276,1.110698938369751,1.0794137716293335,220.7768251000089
reservoir,11,4,OF,0,MA,1178,126,2.47635555267334,2.35010313987732,192.2993314999621
reservoir,11,4,OF,1,FT,2452,138,2.461840867996216,2.5978591442108154,192.2993314999621
reservoir,11,4,OF,2,LN,238,6,2.03787612915039,3.842418909072876,192.2993314999621
reservoir,11,4,OF,3,ZS2,1043,276,1.2082713842391968,1.083102822303772,192.2993314999621
reservoir,11,4,OF,4,OF,568,28,2.62650728225708,2.188490629196167,192.2993314999621
reservoir,11,5,EP0,0,MA,1178,126,2.513861656188965,2.6723320484161377,197.35051509999903
reservoir,11,5,EP0,1,FT,2452,138,2.574800968170166,2.704318046569824,197.35051509999903
reservoir,11,5,EP0,2,LN,238,6,1.9819207191467283,3.5205020904541016,197.35051509999903
reservoir,11,5,EP0,3,ZS2,1043,276,1.379608988761902,1.2340683937072754,197.35051509999903
reservoir,11,5,EP0,4,OF,568,28,3.1106295585632324,2.9962592124938965,197.35051509999903
reservoir,11,5,EP0,5,EP0,556,106,1.7890158891677856,1.7619364261627195,197.35051509999903
reservoir,11,6,GL,0,MA,1178,126,2.4663565158843994,2.468251466751098,200.56599309999729
reservoir,11,6,GL,1,FT,2452,138,2.5129494667053223,2.6021053791046143,200.56599309999729
reservoir,11,6,GL,2,LN,238,6,2.1246590614318848,3.803406000137329,200.56599309999729
reservoir,11,6,GL,3,ZS2,1043,276,1.485520839691162,1.3470419645309448,200.56599309999729
reservoir,11,6,GL,4,OF,568,28,3.2009222507476807,3.126572847366333,200.56599309999729
reservoir,11,6,GL,5,EP0,556,106,1.727843165397644,1.6257550716400146,200.56599309999729
reservoir,11,6,GL,6,GL,3050,241,1.767630100250244,1.7114341259002686,200.56599309999729
reservoir,11,7,ZS0,0,MA,1178,126,2.6784510612487797,2.7404699325561523,150.10016370000085
reservoir,11,7,ZS0,1,FT,2452,138,2.60918402671814,2.5869739055633545,150.10016370000085
reservoir,11,7,ZS0,2,LN,238,6,2.0158262252807617,3.8092315196990967,150.10016370000085
reservoir,11,7,ZS0,3,ZS2,1043,276,1.366776466369629,1.2164340019226074,150.10016370000085
reservoir,11,7,ZS0,4,OF,568,28,3.4479799270629883,3.310847759246826,150.10016370000085
