method,seed,task,historical,n,cpa_n,initial_fde,final_fde,initial_cpa_fde,final_cpa_fde,ordinary_forgetting,cpa_forgetting,gap
gss_adapted,47,EP0,True,556,106,1.6512300968170166,1.825610637664795,1.7469501495361328,2.0644187927246094,0.17438054084777832,0.31746864318847656,0.14308810234069824
gss_adapted,47,GL,True,3050,241,1.8088864088058472,2.0889017581939697,1.7394700050354004,2.0873255729675293,0.28001534938812256,0.3478555679321289,0.06784021854400635
gss_adapted,47,ZS0,False,1084,2,0.9952428340911864,0.9952428340911864,1.2119615077972412,1.2119615077972412,0.0,0.0,0.0
cgsm_dual,7,MA,True,1178,126,2.5815088748931885,2.482033491134644,2.5621955394744877,2.3921046257019043,-0.09947538375854448,-0.17009091377258345,-0.07061553001403897
cgsm_dual,7,FT,True,2452,138,2.5766727924346924,2.7046444416046143,2.684539794921875,2.5679807662963867,0.12797164916992188,-0.11655902862548828,-0.24453067779541016
cgsm_dual,7,LN,True,238,6,1.716852784156799,2.329139709472656,3.458247184753418,3.044843435287476,0.6122869253158567,-0.41340374946594194,-1.0256906747817987
cgsm_dual,7,ZS2,True,1043,276,1.1234880685806274,1.6957441568374634,1.112926959991455,1.327162504196167,0.5722560882568359,0.21423554420471191,-0.358020544052124
cgsm_dual,7,OF,True,568,28,2.515826940536499,3.4081673622131348,1.9857044219970703,2.6549572944641118,0.8923404216766357,0.6692528724670415,-0.22308754920959428
cgsm_dual,7,EP0,True,556,106,1.612067937850952,1.6679465770721436,1.6715233325958252,1.7494429349899292,0.05587863922119163,0.077919602394104,0.022040963172912376
cgsm_dual,7,GL,True,3050,241,1.706696629524231,2.1006293296813965,1.6975247859954834,2.027190685272217,0.3939327001571655,0.3296658992767334,-0.06426680088043213
cgsm_dual,7,ZS0,False,1084,2,0.9992188215255736,0.9992188215255736,1.1061925888061523,1.1061925888061523,0.0,0.0,0.0
cgsm_dual,11,MA,True,1178,126,2.532744884490967,2.747457981109619,2.373590469360352,2.6612138748168945,0.21471309661865234,0.2876234054565425,0.07291030883789018
cgsm_dual,11,FT,True,2452,138,2.567811250686645,2.9033360481262207,2.719294786453247,2.6614911556243896,0.33552479743957564,-0.05780363082885742,-0.39332842826843306
cgsm_dual,11,LN,True,238,6,1.8493741750717163,2.538266897201538,3.665191888809204,3.912927627563477,0.6888927221298218,0.2477357387542729,-0.4411569833755489
cgsm_dual,11,ZS2,True,1043,276,1.116288423538208,2.056560039520264,1.091888427734375,1.4488742351531982,0.9402716159820561,0.35698580741882324,-0.5832858085632329
cgsm_dual,11,OF,True,568,28,2.894683122634888,3.256767988204956,2.2237536907196045,2.098864793777466,0.3620848655700679,-0.12488889694213867,-0.4869737625122066
cgsm_dual,11,EP0,True,556,106,1.5900189876556396,1.6990514993667605,1.6334376335144043,1.7722722291946411,0.10903251171112083,0.13883459568023682,0.02980208396911599
cgsm_dual,11,GL,True,3050,241,1.7327487468719482,2.191128969192505,1.6657005548477173,2.1208887100219727,0.45838022232055664,0.45518815517425537,-0.0031920671463012695
