method,seed,task,threshold,overall,cpa,matched,cpa_minus_overall,cpa_minus_matched
reservoir,23,wind5,0.5,0.09482652500271797,-0.01173990594733293,0.04623022235283104,-0.1065664309500509,-0.057970128300163966
reservoir,23,wind5,1.0,0.09482652500271797,-0.03230288425275327,0.07653645189044478,-0.12712940925547123,-0.10883933614319805
reservoir,23,wind5,1.5,0.09482652500271797,0.022298618577524448,0.08212564427403786,-0.07252790642519352,-0.05982702569651341
reservoir,23,wind5,2.0,0.09482652500271797,0.014565989004964943,0.06473781705093197,-0.08026053599775303,-0.050171828045967024
reservoir,47,wind5,0.5,0.45741064283251764,0.32919001939949716,0.37769536217154837,-0.1282206234330205,-0.04850534277205121
reservoir,47,wind5,1.0,0.45741064283251764,0.32127329930814236,0.43016129726117536,-0.1361373435243753,-0.108887997953033
reservoir,47,wind5,1.5,0.45741064283251764,0.3246530235350669,0.4513017278549074,-0.13275761929745072,-0.1266487043198405
reservoir,47,wind5,2.0,0.45741064283251764,0.324927617210797,0.45354831689634895,-0.13248302562172065,-0.12862069968555195
reservoir,59,wind5,0.5,0.04909719723463059,-0.21805157351076224,-0.037625965799990925,-0.26714877074539284,-0.18042560771077132
reservoir,59,wind5,1.0,0.04909719723463059,-0.08414004141612179,0.012317401274355506,-0.13323723865075238,-0.09645744269047729
reservoir,59,wind5,1.5,0.04909719723463059,-0.004334721576962483,0.033876238143310644,-0.05343191881159307,-0.03821095972027313
reservoir,59,wind5,2.0,0.04909719723463059,-0.01659797044236919,0.027585663215582198,-0.06569516767699977,-0.04418363365795139
reservoir,71,wind5,0.5,1.2667604790776967,0.8990385035041032,1.2104744079003453,-0.36772197557359354,-0.31143590439624214
reservoir,71,wind5,1.0,1.2667604790776967,1.0582769443611586,1.2319245331658215,-0.20848353471653813,-0.1736475888046629
