method,threshold,metric,n_seeds,mean,ci_low,ci_high
cgsm_dual,1.0,cpa_minus_matched,8,0.03443759858199848,-0.0017916485956096027,0.0705039312968887
cgsm_dual,1.5,overall,8,-0.20223811224969104,-0.2620678243310191,-0.14214386876486246
cgsm_dual,1.5,cpa,8,-0.20954929691402907,-0.2806350759926108,-0.1346286892096208
cgsm_dual,1.5,matched,8,-0.21658762719879757,-0.2765600957364833,-0.15575719293912527
cgsm_dual,1.5,cpa_minus_overall,8,-0.007311184664338036,-0.036226139124678654,0.019257130403340005
cgsm_dual,1.5,cpa_minus_matched,8,0.007038330284768465,-0.018192334589789895,0.029193637873749477
cgsm_dual,2.0,overall,8,-0.20223811224969104,-0.2620678243310191,-0.14214386876486246
cgsm_dual,2.0,cpa,8,-0.22061418656411858,-0.2926339249848504,-0.14354289805633824
cgsm_dual,2.0,matched,8,-0.2175220167146446,-0.27845152433011344,-0.1565925090991758
cgsm_dual,2.0,cpa_minus_overall,8,-0.01837607431442751,-0.044919954094867,0.0065747728058063075
cgsm_dual,2.0,cpa_minus_matched,8,-0.003092169849473919,-0.025817181087492952,0.01986109350288451
dualls_adapted,0.5,overall,8,-0.17543784446185454,-0.2334813180215843,-0.12427370886430142
dualls_adapted,0.5,cpa,8,-0.19196302908982288,-0.29474498956075756,-0.09411834002743444
dualls_adapted,0.5,matched,8,-0.22552988621086964,-0.2884950979102579,-0.1721912086103185
dualls_adapted,0.5,cpa_minus_overall,8,-0.01652518462796833,-0.08944069639560656,0.0603968188594668
dualls_adapted,0.5,cpa_minus_matched,8,0.03356685712104675,-0.032092173993029736,0.1037829590953852
dualls_adapted,1.0,overall,8,-0.17543784446185454,-0.2334813180215843,-0.12427370886430142
dualls_adapted,1.0,cpa,8,-0.13432015554277826,-0.2089821886595513,-0.06948826948223731
dualls_adapted,1.0,matched,8,-0.18815221288982337,-0.24952556314180294,-0.13535761363873555
