method,seed,threshold,overall,cpa,matched,cpa_minus_overall,cpa_minus_matched
dualls_adapted,47,2.0,-0.1418491678878665,-0.1332993385550461,-0.14427121353108358,0.008549829332820402,0.010971874976037504
dualls_adapted,59,0.5,-0.08499855443313717,-0.11426356024386504,-0.13048985745768865,-0.029265005810727874,0.016226297213823602
dualls_adapted,59,1.0,-0.08499855443313717,-0.06514756877655739,-0.09378273052774042,0.019850985656579778,0.028635161751183042
dualls_adapted,59,1.5,-0.08499855443313717,-0.07564737508125345,-0.08719869238352163,0.009351179351883714,0.011551317302268164
dualls_adapted,59,2.0,-0.08499855443313717,-0.10955414301126624,-0.08694148491383842,-0.02455558857812908,-0.022612658097427844
dualls_adapted,71,0.5,-0.14738837615847586,-0.3246361350557288,-0.21102101263505002,-0.17724775889725292,-0.1136151224206788
dualls_adapted,71,1.0,-0.14738837615847586,-0.16728588916159742,-0.16528599969279328,-0.019897513003121547,-0.001999889468804117
dualls_adapted,71,1.5,-0.14738837615847586,-0.18047492576413715,-0.15839757475089825,-0.0330865496056613,-0.022077351013238912
dualls_adapted,71,2.0,-0.14738837615847586,-0.2020730759933095,-0.1577575582641105,-0.05468469983483365,-0.044315517729199
dualls_adapted,89,0.5,-0.22469512104839087,-0.20433622539186652,-0.26631024277404036,0.020358895656524323,0.06197401738217383
dualls_adapted,89,1.0,-0.22469512104839087,-0.17554708994742535,-0.23685874725046543,0.049148031100965515,0.06131165730304007
dualls_adapted,89,1.5,-0.22469512104839087,-0.20178938507699185,-0.23470507229020465,0.022905735971399017,0.03291568721321277
dualls_adapted,89,2.0,-0.22469512104839087,-0.24157414899175497,-0.23509931442359008,-0.016879027943364107,-0.006474834568164875
dualls_adapted,107,0.5,-0.3301302956461906,-0.4630699343193293,-0.40650944129231215,-0.13293963867313865,-0.05656049302701719
dualls_adapted,107,1.0,-0.3301302956461906,-0.3439423161760661,-0.35981012850845184,-0.013812020529875454,0.01586781233238572
dualls_adapted,107,1.5,-0.3301302956461906,-0.37008585633753033,-0.3503861279000389,-0.03995556069133971,-0.01969972843749145
dualls_adapted,107,2.0,-0.3301302956461906,-0.38253456943775577,-0.3456376941755863,-0.05240427379156511,-0.036896875262169435
finetune,7,0.5,15.581629800125956,23.050090321358038,15.98738341836397,7.4684605212320845,7.06270690299407
finetune,7,1.0,15.581629800125956,20.107120802428835,15.960879334967695,4.52549100230288,4.146241467461143
finetune,7,1.5,15.581629800125956,18.675299558269927,15.87887097077135,3.09366975814397,2.7964285874985735
finetune,7,2.0,15.581629800125956,17.973154327421213,15.825708154824884,2.391524527295258,2.14744617259633
finetune,11,0.5,27.282564518561212,32.52881125825534,27.591666017741243,5.24624673969412,4.937145240514091
finetune,11,1.0,27.282564518561212,30.734881133079334,27.629570992646865,3.452316614518119,3.1053101404324672
finetune,11,1.5,27.282564518561212,29.75191558130441,27.56091778746128,2.4693510627431983,2.190997793843139
finetune,11,2.0,27.282564518561212,29.238498285692923,27.519785514386875,1.955933767131711,1.7187127713060462
finetune,23,0.5,24.523931226311625,29.07289359978062,24.78785714462153,4.548962373468999,4.2850364551590925
