method,stratum_name,metric,n_seeds,mean,ci_low,ci_high
cgsm_dual,within_3s,stratum_minus_matched,8,-0.027571432609744515,-0.07469590247543065,0.0211541616375257
cgsm_dual,within_3s,cpa_matched,0,,,
cgsm_dual,within_3s,stratum_minus_cpa_matched,0,,,
cgsm_dual,within_5s,overall,8,-0.20223811224969104,-0.2620678243310191,-0.14214386876486246
cgsm_dual,within_5s,stratum,8,-0.23943997351831411,-0.32199041790676275,-0.1669360866142756
cgsm_dual,within_5s,matched,8,-0.2331320480958041,-0.2955468500713109,-0.17044279914648933
cgsm_dual,within_5s,stratum_minus_overall,8,-0.03720186126862307,-0.08779088516911968,0.012813797366317938
cgsm_dual,within_5s,stratum_minus_matched,8,-0.006307925422510019,-0.04905722752049463,0.03729930478329017
cgsm_dual,within_5s,cpa_matched,0,,,
cgsm_dual,within_5s,stratum_minus_cpa_matched,0,,,
cgsm_dual,within_10s,overall,8,-0.20223811224969104,-0.2620678243310191,-0.14214386876486246
cgsm_dual,within_10s,stratum,8,-0.1844574441977993,-0.2657532469844438,-0.10659247331279152
cgsm_dual,within_10s,matched,8,-0.21889504277979777,-0.2811189409142863,-0.15659785295525275
cgsm_dual,within_10s,stratum_minus_overall,8,0.017780668051891744,-0.027026609286019534,0.06284004232576715
cgsm_dual,within_10s,stratum_minus_matched,8,0.03443759858199848,-0.0017916485956096081,0.0705039312968887
cgsm_dual,within_10s,cpa_matched,0,,,
cgsm_dual,within_10s,stratum_minus_cpa_matched,0,,,
cgsm_dual,ongoing,overall,8,-0.20223811224969104,-0.2620678243310191,-0.14214386876486246
cgsm_dual,ongoing,stratum,8,-0.32510210089363983,-0.4167610005955968,-0.2518038512942953
cgsm_dual,ongoing,matched,8,-0.24371831082502307,-0.3085845875936698,-0.1794020246862986
cgsm_dual,ongoing,stratum_minus_overall,8,-0.12286398864394879,-0.1871559773057852,-0.05771949299822447
cgsm_dual,ongoing,stratum_minus_matched,8,-0.08138379006861673,-0.13630520618907374,-0.023925811772827942
cgsm_dual,ongoing,cpa_matched,8,-0.2176365665916134,-0.3045060848955218,-0.1362910738121093
cgsm_dual,ongoing,stratum_minus_cpa_matched,8,-0.10746553430202642,-0.13347040688728415,-0.07971220811655431
cgsm_dual,new_0_3s,overall,8,-0.20223811224969104,-0.2620678243310191,-0.14214386876486246
cgsm_dual,new_0_3s,stratum,8,0.14786427857973033,0.058172831151416,0.2450823025006641
cgsm_dual,new_0_3s,matched,8,-0.1761135401118694,-0.237465257908388,-0.11212983231048357
cgsm_dual,new_0_3s,stratum_minus_overall,8,0.3501023908294214,0.2911471588503487,0.40232243200070816
cgsm_dual,new_0_3s,stratum_minus_matched,8,0.32397781869159975,0.2724137374401477,0.36905593568350864
cgsm_dual,new_0_3s,cpa_matched,8,-0.15202325448240206,-0.2155669440212656,-0.08567927847211042
cgsm_dual,new_0_3s,stratum_minus_cpa_matched,8,0.2998875330621324,0.2427898958540533,0.35203538258954215
cgsm_dual,new_3_5s,overall,8,-0.20223811224969104,-0.2620678243310191,-0.14214386876486246
cgsm_dual,new_3_5s,stratum,8,0.08226045218982722,-0.013307437340264303,0.19085604876576068
cgsm_dual,new_3_5s,matched,8,-0.2062225784733996,-0.25237775478153146,-0.15944594086259228
cgsm_dual,new_3_5s,stratum_minus_overall,8,0.28449856443951826,0.2188280373980547,0.35701063158183943
cgsm_dual,new_3_5s,stratum_minus_matched,8,0.2884830306632268,0.22715732939411087,0.3641299122644382
cgsm_dual,new_3_5s,cpa_matched,8,-0.1484560003662592,-0.2163895764567828,-0.08417823496227154
cgsm_dual,new_3_5s,stratum_minus_cpa_matched,8,0.23071645255608642,0.1513239253082867,0.3149253470914245
cgsm_dual,new_5_10s,overall,8,-0.20223811224969104,-0.2620678243310191,-0.14214386876486246
cgsm_dual,new_5_10s,stratum,8,0.16272652797469564,0.03655776597730653,0.3043484782634903
cgsm_dual,new_5_10s,matched,8,-0.1302280187995553,-0.1946209966931895,-0.06494079548804702
cgsm_dual,new_5_10s,stratum_minus_overall,8,0.3649646402243867,0.26838688162692775,0.46277406450850767
cgsm_dual,new_5_10s,stratum_minus_matched,8,0.2929545467742509,0.20753244319648811,0.3807838846731174
cgsm_dual,new_5_10s,cpa_matched,8,-0.058131832684504475,-0.13663740812136668,0.02389998126831374
cgsm_dual,new_5_10s,stratum_minus_cpa_matched,8,0.22085836065920011,0.13831526262502936,0.3041696905453949
cgsm_dual,no_entry_10s,overall,8,-0.20223811224969104,-0.2620678243310191,-0.14214386876486246
cgsm_dual,no_entry_10s,stratum,8,-0.20668217370022512,-0.27492788164659454,-0.14932330976118344
cgsm_dual,no_entry_10s,matched,8,-0.19039198787614392,-0.2497369775589607,-0.13128469423232086
cgsm_dual,no_entry_10s,stratum_minus_overall,8,-0.004444061450534109,-0.03843037184822143,0.03210337059026908
cgsm_dual,no_entry_10s,stratum_minus_matched,8,-0.01629018582408122,-0.04378451432230957,0.013498375413788646
cgsm_dual,no_entry_10s,cpa_matched,0,,,
cgsm_dual,no_entry_10s,stratum_minus_cpa_matched,0,,,
dualls_adapted,within_3s,overall,8,-0.17543784446185454,-0.2334813180215843,-0.12427370886430143
dualls_adapted,within_3s,stratum,8,-0.18852845654735997,-0.2767180973033704,-0.1098949657951583
dualls_adapted,within_3s,matched,8,-0.20342982573396579,-0.2659117620577326,-0.15012539985827983
dualls_adapted,within_3s,stratum_minus_overall,8,-0.013090612085505425,-0.06316122492446719,0.04015469549662726
dualls_adapted,within_3s,stratum_minus_matched,8,0.014901369186605805,-0.0291081197731867,0.06324108929276485
dualls_adapted,within_3s,cpa_matched,0,,,
dualls_adapted,within_3s,stratum_minus_cpa_matched,0,,,
dualls_adapted,within_5s,overall,8,-0.17543784446185454,-0.2334813180215843,-0.12427370886430143
dualls_adapted,within_5s,stratum,8,-0.17066132263527012,-0.2567455220110764,-0.09401801155721001
dualls_adapted,within_5s,matched,8,-0.20250842058900959,-0.26500994797196353,-0.14881848645904805
dualls_adapted,within_5s,stratum_minus_overall,8,0.004776521826584446,-0.040774835324332966,0.05385283599858314
dualls_adapted,within_5s,stratum_minus_matched,8,0.03184709795373951,-0.007972974288153285,0.07675697000382561
dualls_adapted,within_5s,cpa_matched,0,,,
dualls_adapted,within_5s,stratum_minus_cpa_matched,0,,,
dualls_adapted,within_10s,overall,8,-0.17543784446185454,-0.2334813180215843,-0.12427370886430143
dualls_adapted,within_10s,stratum,8,-0.1343201555427783,-0.20898218865955132,-0.06948826948223732
dualls_adapted,within_10s,matched,8,-0.1881522128898234,-0.24952556314180294,-0.13535761363873555
dualls_adapted,within_10s,stratum_minus_overall,8,0.041117688919076266,0.009478270302779488,0.07678810978997788
dualls_adapted,within_10s,stratum_minus_matched,8,0.05383205734704512,0.02657789373647197,0.08548945479642431
dualls_adapted,within_10s,cpa_matched,0,,,
dualls_adapted,within_10s,stratum_minus_cpa_matched,0,,,
dualls_adapted,ongoing,overall,8,-0.17543784446185454,-0.2334813180215843,-0.12427370886430143
dualls_adapted,ongoing,stratum,8,-0.23181044802816753,-0.3366156660336063,-0.13673783700383318
dualls_adapted,ongoing,matched,8,-0.2091666818550027,-0.2711857298228625,-0.1564588653316316
dualls_adapted,ongoing,stratum_minus_overall,8,-0.05637260356631299,-0.12677643429472055,0.013585225581467334
dualls_adapted,ongoing,stratum_minus_matched,8,-0.022643766173164867,-0.08552742422775989,0.04034295991491769
dualls_adapted,ongoing,cpa_matched,8,-0.165457003125602,-0.2436934542959646,-0.09642159696009571
dualls_adapted,ongoing,stratum_minus_cpa_matched,8,-0.06635344490256559,-0.09947101094123346,-0.035297468086944325
dualls_adapted,new_0_3s,overall,8,-0.17543784446185454,-0.2334813180215843,-0.12427370886430143
dualls_adapted,new_0_3s,stratum,8,0.0995619215085352,0.02232088536342923,0.19539460613516701
dualls_adapted,new_0_3s,matched,8,-0.16195140357526483,-0.230134359985159,-0.10060403114100866
dualls_adapted,new_0_3s,stratum_minus_overall,8,0.2749997659703898,0.18421770260665848,0.37747771383108397
dualls_adapted,new_0_3s,stratum_minus_matched,8,0.26151332508380004,0.17727701038218366,0.3566682114609859
dualls_adapted,new_0_3s,cpa_matched,8,-0.0934168918623722,-0.17212441104756304,-0.027763748030184405
dualls_adapted,new_0_3s,stratum_minus_cpa_matched,8,0.1929788133709074,0.1011797659828281,0.2968805592535211
dualls_adapted,new_3_5s,overall,8,-0.17543784446185454,-0.2334813180215843,-0.12427370886430143
dualls_adapted,new_3_5s,stratum,8,0.07974767296296364,-0.014003950778543613,0.16680786476653517
dualls_adapted,new_3_5s,matched,8,-0.19253169244228358,-0.2588780745517756,-0.1321574551327746
dualls_adapted,new_3_5s,stratum_minus_overall,8,0.2551855174248182,0.2043383731927801,0.3030285096400083
dualls_adapted,new_3_5s,stratum_minus_matched,8,0.2722793654052472,0.2248106996874773,0.32221304175663174
dualls_adapted,new_3_5s,cpa_matched,8,-0.13766657519256853,-0.20723581792090923,-0.07394272071707204
dualls_adapted,new_3_5s,stratum_minus_cpa_matched,8,0.21741424815553217,0.16989205454653847,0.27086037252900336
dualls_adapted,new_5_10s,overall,8,-0.17543784446185454,-0.2334813180215843,-0.12427370886430143
dualls_adapted,new_5_10s,stratum,8,0.09486602209543103,0.031595207450891415,0.16588884767572762
dualls_adapted,new_5_10s,matched,8,-0.09972550318890547,-0.1562415511108211,-0.048501731851566865
dualls_adapted,new_5_10s,stratum_minus_overall,8,0.27030386655728555,0.19885151566293924,0.34397947360032005
dualls_adapted,new_5_10s,stratum_minus_matched,8,0.1945915252843365,0.12672875216104584,0.2636788090467456
dualls_adapted,new_5_10s,cpa_matched,8,-0.007865406141415173,-0.07121868088108257,0.051039688359155476
dualls_adapted,new_5_10s,stratum_minus_cpa_matched,8,0.1027314282368462,0.01883435049766897,0.18603098427763495
dualls_adapted,no_entry_10s,overall,8,-0.17543784446185454,-0.2334813180215843,-0.12427370886430143
dualls_adapted,no_entry_10s,stratum,8,-0.1970507540358673,-0.25344881127642616,-0.14009187202680512
dualls_adapted,no_entry_10s,matched,8,-0.168502118897697,-0.22468703879245905,-0.1179398200343705
dualls_adapted,no_entry_10s,stratum_minus_overall,8,-0.021612909574012743,-0.05186793835201959,0.004203601481207286
dualls_adapted,no_entry_10s,stratum_minus_matched,8,-0.028548635138170294,-0.05494701025017653,-0.006078766036148762
dualls_adapted,no_entry_10s,cpa_matched,0,,,
dualls_adapted,no_entry_10s,stratum_minus_cpa_matched,0,,,
