method,seed,task,stratum_name,stratum_n,overall,stratum,matched,stratum_minus_overall,stratum_minus_matched,cpa_matched,stratum_minus_cpa_matched
finetune,59,alt180,within_5s,700,0.18931706403940915,0.7959453449078968,0.21513991147688927,0.6066282808684876,0.5808054334310075,,
finetune,59,alt180,within_10s,802,0.18931706403940915,0.7760649763437876,0.2448418464319094,0.5867479123043784,0.5312231299118781,,
finetune,59,alt180,ongoing,566,0.18931706403940915,0.8443361611332573,0.14634174100398545,0.6550190970938481,0.6979944201292718,0.6799633344349622,0.16437282669829512
finetune,59,alt180,new_0_3s,90,0.18931706403940915,0.34583645595444573,0.5013693746334509,0.15651939191503658,-0.15553291867900515,0.9959422180954017,-0.6501057621409561
finetune,59,alt180,new_3_5s,44,0.18931706403940915,1.0941407545046373,0.5146652024671869,0.9048236904652281,0.5794755520374504,0.9762547889763321,0.11788596552830521
finetune,59,alt180,new_5_10s,102,0.18931706403940915,0.6396310744332332,0.4486786549467525,0.450314010393824,0.19095241948648067,1.0289691509214136,-0.3893380764881804
finetune,59,alt180,no_entry_10s,1198,0.18931706403940915,-0.20348078710258705,0.15214604944943833,-0.39279785114199617,-0.35562683655202537,,
finetune,71,alt180,within_3s,656,0.3754388282895088,1.1527764618215037,0.4298343902724424,0.7773376335319949,0.7229420715490613,,
finetune,71,alt180,within_5s,700,0.3754388282895088,1.1212334181581225,0.44650364166635637,0.7457945898686137,0.6747297764917661,,
finetune,71,alt180,within_10s,802,0.3754388282895088,1.072925229359446,0.4671698651898389,0.6974864010699372,0.6057553641696072,,
finetune,71,alt180,ongoing,566,0.3754388282895088,1.3054493959506073,0.39186038563157516,0.9300105676610985,0.9135890103190321,1.0052825037272264,0.3001668922233809
finetune,71,alt180,new_0_3s,90,0.3754388282895088,0.19263334274291993,0.6686486861250062,-0.18280548554658888,-0.47601534338208623,1.2297417307959488,-1.037108388053029
finetune,71,alt180,new_3_5s,44,0.3754388282895088,0.650955312631347,0.6950270260847115,0.2755164843418382,-0.04407171345336447,1.262564363840277,-0.61160905120893
finetune,71,alt180,new_5_10s,102,0.3754388282895088,0.7413984434861763,0.6089968893705996,0.36595961519666753,0.13240155411557675,1.2281034221182143,-0.486704978632038
finetune,71,alt180,no_entry_10s,1198,0.3754388282895088,-0.09149280247684313,0.31402956986374536,-0.4669316307663519,-0.4055223723405885,,
finetune,89,alt180,within_3s,656,0.24970713942497968,0.957766953855753,0.29517978122774435,0.7080598144307733,0.6625871726280086,,
finetune,89,alt180,within_5s,700,0.24970713942497968,0.9135359982933317,0.29688447771480847,0.663828858868352,0.6166515205785232,,
finetune,89,alt180,within_10s,802,0.24970713942497968,0.8529146760330533,0.29555357203913835,0.6032075366080736,0.5573611039939149,,
finetune,89,alt180,ongoing,566,0.24970713942497968,1.0083426199195242,0.2847851740536468,0.7586354804945445,0.7235574458658774,0.8902472689076693,0.11809535101185498
finetune,89,alt180,new_0_3s,90,0.24970713942497968,0.6397022094991472,0.3605503107892912,0.38999507007416756,0.27915189870985607,0.7991492442742553,-0.15944703477510802
finetune,89,alt180,new_3_5s,44,0.24970713942497968,0.254092660817233,0.3222999526128515,0.004385521392253289,-0.06820729179561852,0.7456250623962203,-0.4915324015789873
finetune,89,alt180,new_5_10s,102,0.24970713942497968,0.4368859938546723,0.28641990563748126,0.18717885442969262,0.15046608821719104,0.7394772671240316,-0.3025912732693593
finetune,89,alt180,no_entry_10s,1198,0.24970713942497968,-0.15410959209394773,0.21901528720748784,-0.4038167315189274,-0.37312487930143556,,
finetune,107,alt180,within_3s,656,-0.25787741562724115,-0.04394254579049785,-0.27181582119545655,0.2139348698367433,0.22787327540495872,,
finetune,107,alt180,within_5s,700,-0.25787741562724115,-0.03269476566995893,-0.26482216944812614,0.2251826499572822,0.2321274037781672,,
finetune,107,alt180,within_10s,802,-0.25787741562724115,-0.006937445770772615,-0.23854291526079663,0.25093996985646855,0.231605469490024,,
finetune,107,alt180,ongoing,566,-0.25787741562724115,-0.05084660228065383,-0.30080676013224644,0.20703081334658732,0.24996015785159262,-0.08221934831532438,0.031372746034670544
finetune,107,alt180,new_0_3s,90,-0.25787741562724115,-0.0005237016412946913,-0.08949502743742231,0.2573537139859465,0.08897132579612763,0.12062211012793346,-0.12114581176922815
finetune,107,alt180,new_3_5s,44,-0.25787741562724115,0.1349994106726213,-0.1605531797606555,0.3928768262998624,0.2955525904332768,0.13378283827596424,0.0012165723966570674
finetune,107,alt180,new_5_10s,102,-0.25787741562724115,0.16982847510599622,-0.05819509240657409,0.4277058907332374,0.2280235675125703,0.23754789061428952,-0.0677194155082933
finetune,107,alt180,no_entry_10s,1198,-0.25787741562724115,-0.42586894803532777,-0.2708208791446773,-0.16799153240808662,-0.15504806889065048,,
reservoir,7,alt180,within_3s,656,-0.1121730255484581,-0.06607786834058238,-0.18663496631162632,0.046095157207875714,0.12055709797104394,,
reservoir,7,alt180,within_5s,700,-0.1121730255484581,-0.03919157551867621,-0.1731363910976012,0.07298145002978187,0.133944815578925,,
reservoir,7,alt180,within_10s,802,-0.1121730255484581,-0.02268470474460773,-0.14452004366935203,0.08948832080385036,0.1218353389247443,,
reservoir,7,alt180,ongoing,566,-0.1121730255484581,-0.0922149080164441,-0.20963161959952997,0.019958117532014,0.11741671158308588,-0.09358078362504549,0.001365875608601394
reservoir,7,alt180,new_0_3s,90,-0.1121730255484581,0.09829507006539238,-0.04201156896769902,0.2104680956138505,0.1403066390330914,0.18011121391448404,-0.08181614384909165
reservoir,7,alt180,new_3_5s,44,-0.1121730255484581,0.3616586083715612,0.02811509391150111,0.4738316339200193,0.3335435144600601,0.20592195189358842,0.1557366564779728
reservoir,7,alt180,new_5_10s,102,-0.1121730255484581,0.09059774174409754,0.05186665436765209,0.20277076729255564,0.038731087376445456,0.09316681559783213,-0.002569073853734588
reservoir,7,alt180,no_entry_10s,1198,-0.1121730255484581,-0.17208089974268848,-0.09051834396836048,-0.05990787419423038,-0.081562555774328,,
reservoir,11,alt180,within_3s,656,-0.4081854830831289,0.11858178652459528,-0.40234156697900636,0.5267672696077241,0.5209233535036016,,
reservoir,11,alt180,within_5s,700,-0.4081854830831289,0.11440976615462985,-0.3880565141305626,0.5225952492377588,0.5024662802851925,,
reservoir,11,alt180,within_10s,802,-0.4081854830831289,0.11143731197662782,-0.3807164237315524,0.5196227950597567,0.4921537357081802,,
reservoir,11,alt180,ongoing,566,-0.4081854830831289,0.22061795843995502,-0.4152374102239168,0.6288034415230839,0.6358553686638718,0.09303576115786656,0.12758219728208847
reservoir,11,alt180,new_0_3s,90,-0.4081854830831289,-0.523112361298667,-0.3212410416832361,-0.1149268782155381,-0.20187131961543092,0.19327629464342455,-0.7163886559420916
reservoir,11,alt180,new_3_5s,44,-0.4081854830831289,0.05220873518423601,-0.175079362571948,0.46039421826736493,0.22728809775618403,0.3129029592745456,-0.26069422409030957
reservoir,11,alt180,new_5_10s,102,-0.4081854830831289,0.09103811663739822,-0.33034325432658074,0.4992235997205271,0.421381370963979,0.0544302614109294,0.03660785522646882
reservoir,11,alt180,no_entry_10s,1198,-0.4081854830831289,-0.7560464861197941,-0.4265746196440341,-0.3478610030366652,-0.32947186647576,,
reservoir,23,alt180,within_3s,656,-0.4905531207770109,-0.4767548562731685,-0.5091245361221235,0.013798264503842417,0.032369679848955,,
reservoir,23,alt180,within_5s,700,-0.4905531207770109,-0.46479710349014824,-0.5104810311951226,0.025756017286862665,0.045683927704974314,,
reservoir,23,alt180,within_10s,802,-0.4905531207770109,-0.4285769586328259,-0.49445144099743854,0.061976162144185,0.06587448236461263,,
reservoir,23,alt180,ongoing,566,-0.4905531207770109,-0.5195690428199701,-0.5345136729526988,-0.029015922042959164,0.014944630132728731,-0.45932879548045197,-0.060240247339518105
reservoir,23,alt180,new_0_3s,90,-0.4905531207770109,-0.20750119421217178,-0.34945507560983835,0.28305192656483913,0.14195388139766657,-0.35156306208267196,0.14406186787050018
reservoir,23,alt180,new_3_5s,44,-0.4905531207770109,-0.2865178801796653,-0.5307051395562024,0.20403524059734562,0.24418725937653707,-0.49663935443909485,0.21012147425942956
reservoir,23,alt180,new_5_10s,102,-0.4905531207770109,-0.1800073370629666,-0.384444449444705,0.3105457837140443,0.20443711238173842,-0.29652760194931294,0.11652026488634634
reservoir,23,alt180,no_entry_10s,1198,-0.4905531207770109,-0.5320430056181097,-0.4879433938848717,-0.04148988484109878,-0.04409961173323801,,
reservoir,47,alt180,within_3s,656,-0.08971360263973474,0.2538541551088778,-0.1071895470770396,0.3435677577486126,0.3610437021859174,,
reservoir,47,alt180,within_5s,700,-0.08971360263973474,0.2489729172204222,-0.09878705038081831,0.33868651986015696,0.3477599676012405,,
reservoir,47,alt180,within_10s,802,-0.08971360263973474,0.19555469204734388,-0.07581685294595439,0.2852682946870786,0.2713715449932983,,
reservoir,47,alt180,ongoing,566,-0.08971360263973474,0.24813623281439287,-0.11860642238589206,0.3378498354541276,0.36674265520028493,0.15135006198796677,0.0967861708264261
