method,seed,stratum_name,overall,stratum,matched,stratum_minus_overall,stratum_minus_matched,cpa_matched,stratum_minus_cpa_matched
finetune,71,new_3_5s,16.635204686632754,14.938253968403625,17.008017573896534,-1.696950718229126,-2.06976360549291,20.756322554561013,-5.818068586157386
finetune,71,new_5_10s,16.635204686632754,16.542556390515664,16.936722789336194,-0.09264829611709073,-0.39416639882052873,20.71935880923078,-4.176802418715118
finetune,71,no_entry_10s,16.635204686632754,13.903264707442816,16.429456767202772,-2.7319399791899377,-2.526192059759957,,
finetune,71,ongoing,16.635204686632754,23.06319729047125,17.05373469717289,6.4279926038385,6.009462593298364,21.15690862689682,1.9062886635744323
finetune,71,within_10s,16.635204686632754,21.01928368195969,16.98983349414905,4.384078995326936,4.029450187810639,,
finetune,71,within_3s,16.635204686632754,22.231531856035033,16.998830392232286,5.596327169402281,5.232701463802749,,
finetune,71,within_5s,16.635204686632754,21.747181913188292,17.002263267669992,5.11197722655554,4.744918645518299,,
finetune,89,new_0_3s,23.78871559173614,24.207127531306174,23.727121824019616,0.4184119395700353,0.4800057072865564,27.20297449576165,-2.995846964455479
finetune,89,new_3_5s,23.78871559173614,24.118846617218786,24.30613201961102,0.33013102548265083,-0.18728540239223265,27.396700538924524,-3.277853921705737
finetune,89,new_5_10s,23.78871559173614,25.52615001746692,24.3677963720768,1.7374344257307803,1.15835364539012,27.510431621346576,-1.9842816038796591
finetune,89,no_entry_10s,23.78871559173614,21.589925015295908,23.580470614066297,-2.1987905764402305,-1.9905455987703895,,
finetune,89,ongoing,23.78871559173614,28.47276918417589,24.16113698319321,4.684053592439755,4.311632200982686,27.47765680540767,0.9951123787682242
finetune,89,within_10s,23.78871559173614,27.46373450464809,24.175083351348828,3.675018912911953,3.288651153299263,,
finetune,89,within_3s,23.78871559173614,28.037133327101465,24.131012044350022,4.248417735365327,3.906121282751441,,
finetune,89,within_5s,23.78871559173614,27.77839455866306,24.14688354035172,3.9896789669269195,3.631511018311336,,
finetune,107,new_0_3s,13.25575552192554,12.09842189954642,13.115230333477442,-1.1573336223791197,-1.0168084339310222,16.439426608765626,-4.341004709219206
finetune,107,new_3_5s,13.25575552192554,12.463792118488657,13.932976358159298,-0.7919634034368821,-1.469184239670639,17.109913488048278,-4.646121369559623
finetune,107,new_5_10s,13.25575552192554,13.761742729788992,13.569131849406128,0.5059872078634515,0.19261088038286345,16.793333359800066,-3.031590630011075
finetune,107,no_entry_10s,13.25575552192554,10.918630672732437,13.076779434388646,-2.337124849193103,-2.1581487616562085,,
