method,seed,task,initial_tp,initial_fn,initial_fp,initial_tn,initial_fnr,initial_fpr,final_tp,final_fn,final_fp,final_tn,final_fnr,final_fpr,delta_fnr,delta_fpr
cgsm_dual,23,speed15,526,12,12,787,0.022304832713754646,0.015018773466833541,524,14,12,787,0.026022304832713755,0.015018773466833541,0.0037174721189591094,0.0
cgsm_dual,23,alt180,597,8,11,653,0.013223140495867768,0.016566265060240965,597,8,12,652,0.013223140495867768,0.018072289156626505,0.0,0.00150602409638554
cgsm_dual,23,speed10,535,14,19,839,0.025500910746812388,0.022144522144522144,532,17,19,839,0.030965391621129327,0.022144522144522144,0.005464480874316939,0.0
cgsm_dual,47,baseline,627,10,17,534,0.015698587127158554,0.030852994555353903,626,11,12,539,0.01726844583987441,0.021778584392014518,0.0015698587127158554,-0.009074410163339385
cgsm_dual,47,wind5,638,12,21,432,0.018461538461538463,0.046357615894039736,637,13,17,436,0.02,0.037527593818984545,0.0015384615384615372,-0.008830022075055191
cgsm_dual,47,speed15,526,12,13,786,0.022304832713754646,0.016270337922403004,525,13,10,789,0.024163568773234202,0.012515644555694618,0.0018587360594795564,-0.003754693366708386
cgsm_dual,47,alt180,598,7,11,653,0.011570247933884297,0.016566265060240965,599,6,11,653,0.009917355371900827,0.016566265060240965,-0.0016528925619834697,0.0
cgsm_dual,47,speed10,533,16,20,838,0.029143897996357013,0.023310023310023312,535,14,22,836,0.025500910746812388,0.02564102564102564,-0.003642987249544625,0.0023310023310023284
cgsm_dual,59,baseline,625,12,15,536,0.018838304552590265,0.02722323049001815,625,12,16,535,0.018838304552590265,0.029038112522686024,0.0,0.0018148820326678756
cgsm_dual,59,wind5,639,11,20,433,0.016923076923076923,0.04415011037527594,638,12,20,433,0.018461538461538463,0.04415011037527594,0.0015384615384615406,0.0
cgsm_dual,59,speed15,526,12,12,787,0.022304832713754646,0.015018773466833541,523,15,12,787,0.027881040892193308,0.015018773466833541,0.005576208178438662,0.0
cgsm_dual,59,alt180,599,6,10,654,0.009917355371900827,0.015060240963855422,597,8,12,652,0.013223140495867768,0.018072289156626505,0.003305785123966941,0.0030120481927710836
cgsm_dual,59,speed10,534,15,17,841,0.0273224043715847,0.019813519813519812,533,16,18,840,0.029143897996357013,0.02097902097902098,0.0018214936247723142,0.0011655011655011677
cgsm_dual,71,baseline,625,12,14,537,0.018838304552590265,0.025408348457350273,622,15,15,536,0.023547880690737835,0.02722323049001815,0.00470957613814757,0.0018148820326678756
cgsm_dual,71,wind5,640,10,20,433,0.015384615384615385,0.04415011037527594,636,14,20,433,0.021538461538461538,0.04415011037527594,0.006153846153846152,0.0
cgsm_dual,71,speed15,524,14,13,786,0.026022304832713755,0.016270337922403004,524,14,12,787,0.026022304832713755,0.015018773466833541,0.0,-0.0012515644555694625
cgsm_dual,71,alt180,598,7,10,654,0.011570247933884297,0.015060240963855422,598,7,10,654,0.011570247933884297,0.015060240963855422,0.0,0.0
cgsm_dual,71,speed10,536,13,17,841,0.023679417122040074,0.019813519813519812,534,15,20,838,0.0273224043715847,0.023310023310023312,0.003642987249544625,0.0034965034965034995
cgsm_dual,89,baseline,624,13,15,536,0.02040816326530612,0.02722323049001815,624,13,15,536,0.02040816326530612,0.02722323049001815,0.0,0.0
cgsm_dual,89,wind5,639,11,17,436,0.016923076923076923,0.037527593818984545,639,11,18,435,0.016923076923076923,0.039735099337748346,0.0,0.0022075055187638012
cgsm_dual,89,speed15,524,14,11,788,0.026022304832713755,0.01376720901126408,523,15,10,789,0.027881040892193308,0.012515644555694618,0.001858736059479553,-0.0012515644555694625
