method,seed,task,n,cpa_n,overall,cpa,initial_overall_fde,initial_cpa_fde,random,cpa_minus_random,permutation_p_random,matched,cpa_minus_matched,permutation_p_matched,cpa_minus_overall
reservoir,89,speed15,2000,702,0.49423115810751916,0.8895639186231499,9.425773033797741,10.003619608716068,0.44836775421842606,0.4411961644047238,0.000999000999000999,0.36839162078987064,0.5211722978332792,0.000999000999000999,0.3953327605156307
reservoir,89,alt180,2000,802,-0.22068218871951104,0.5077537199356906,12.005528264433146,11.74366719801527,-0.20662818703505365,0.7143819069707442,0.000999000999000999,-0.22280898853336834,0.7305627084690589,0.000999000999000999,0.7284359086552017
reservoir,89,speed10,2000,674,0.28943682224303485,0.5045143743473981,8.443966767303646,8.602129836950882,0.292940814882807,0.2115735594645911,0.000999000999000999,0.2841514270276953,0.2203629473197028,0.002997002997002997,0.21507755210436325
reservoir,107,baseline,2000,887,-0.9116357543691993,-1.1592112366517475,13.198364763490856,12.581291804201438,-0.9658219745869578,-0.19338926206478968,0.08691308691308691,-0.9941117465679464,-0.1650994900838011,0.1028971028971029,-0.24757548228254822
reservoir,107,wind5,2000,986,0.17764396299421786,0.30266036168798716,11.977055337786675,11.565882518494588,0.17890327674000492,0.12375708494798224,0.13486513486513488,0.186063306802917,0.11659705488507016,0.13886113886113885,0.1250163986937693
reservoir,107,speed15,2000,702,-0.06604674559831619,-0.22428897180278756,9.486515728071332,10.206237562998407,-0.09706130291207705,-0.12722766889071052,0.25574425574425574,-0.21705745036633084,-0.007231521436456723,0.9470529470529471,-0.15824222620447137
reservoir,107,alt180,2000,802,-0.792463840290904,-0.37052318580132765,12.104273179411889,11.746054393989487,-0.7880811130270845,0.41755792722575685,0.000999000999000999,-0.7683524052586405,0.3978292194573128,0.000999000999000999,0.42194065448957635
reservoir,107,speed10,2000,674,0.2712359906435013,0.7938082229666611,8.408183174327016,8.465256486165417,0.27453236251628754,0.5192758604503735,0.000999000999000999,0.29414269234150736,0.49966553062515373,0.000999000999000999,0.5225722323231599
gss_adapted,7,baseline,2000,887,-0.43771967706829307,-0.5743874879270422,12.746900472715497,12.066066813778043,-0.4609618371852439,-0.11342565074179828,0.24775224775224775,-0.44753521110571637,-0.12685227682132583,0.16283716283716285,-0.13666781085874913
gss_adapted,7,wind5,2000,986,-0.09974863956868649,-0.2103197410491127,11.773846979737282,11.306804304069727,-0.10232421082028254,-0.10799553022883016,0.08091908091908091,-0.1515628867309084,-0.058756854318204293,0.31868131868131866,-0.1105711014804262
gss_adapted,7,speed15,2000,702,-0.027103331692516802,-0.1449654692428404,9.409356618665159,10.036781361257589,-0.0186905316430212,-0.1262749375998192,0.03596403596403597,-0.03255044728354593,-0.11241502195929447,0.07292707292707293,-0.1178621375503236
gss_adapted,7,alt180,2000,802,-0.8715386215746402,-0.5126762462970325,11.877269101321698,11.596230115602141,-0.8682253465469981,0.35554910024996567,0.002997002997002997,-0.8745544706124316,0.3618782243153992,0.001998001998001998,0.3588623752776078
gss_adapted,7,speed10,2000,674,0.16722028732299804,0.15790925835997133,8.4837240344584,8.458032694520865,0.16636919490277505,-0.00845993654280372,0.9000999000999002,0.1573327681019488,0.0005764902580225328,0.988011988011988,-0.009311028963026713
gss_adapted,11,baseline,2000,887,-0.297739235535264,-0.34227947821880544,12.441253020644188,11.81734153672028,-0.2721452168836734,-0.07013426133513206,0.4925074925074925,-0.2538394825365765,-0.08843999568222893,0.3176823176823177,-0.04454024268354145
