method,seed,task,cpa_minus_50bin,initial_50bin_residual,cpa_minus_nearest_non_cpa,initial_nearest_residual,nearest_initial_mae,nearest_initial_max,cpa_n,unique_donors
cgsm_dual,11,wind5,-0.4038864276015517,-0.009793243789641082,-0.9550968427022137,7.54739431773915e-05,0.1574608775924959,4.220054626464844,986,554
cgsm_dual,11,speed15,0.0003852181017671291,0.09708367960292286,-0.03378096492456914,0.1557348443571998,0.21688524236706247,44.438907623291016,702,491
cgsm_dual,11,alt180,0.2532436748407627,0.008805192622716618,0.45478920233517217,0.01552296680702533,0.14607490818399443,6.287578582763672,802,514
cgsm_dual,11,speed10,-0.05118435298542601,0.020226742815479426,-0.11239966845211714,0.01910961372915998,0.0861788822741466,6.224842071533203,674,482
cgsm_dual,23,baseline,0.06991680874829642,-0.005566231340369043,0.09802419911511452,0.045002241447786334,0.1342405893555354,17.61931610107422,887,519
cgsm_dual,23,wind5,-0.042617366993115226,-0.014510417277024956,-0.09744852802453612,0.02245825453534813,0.13566859380831342,3.841796875,986,565
cgsm_dual,23,speed15,-0.15573000168125514,0.08597416422907322,-0.28583542229952635,0.16166511411510642,0.23300429894204153,43.735416412353516,702,473
cgsm_dual,23,alt180,0.0753959524497031,0.03665717216847497,0.28398511159301104,0.025694018067267173,0.14984797599012417,10.629566192626953,802,500
cgsm_dual,23,speed10,-0.06335951560241176,0.012235950381874972,-0.1503298236858597,0.013642701533144942,0.09176988214342814,9.743659973144531,674,473
cgsm_dual,47,baseline,0.11607009982355726,-0.05640759594671785,0.093672352081759,0.027662878509573094,0.11647318436301145,9.910396575927734,887,521
cgsm_dual,47,wind5,-0.01196990957652,0.015632989304064537,-0.0744516581115568,0.004470367823362834,0.1607217751216695,4.4592742919921875,986,555
cgsm_dual,47,speed15,0.011791091004828558,0.08945672982867947,0.00179988876027599,0.16244942272490587,0.22614350430985802,41.947349548339844,702,488
cgsm_dual,47,alt180,0.419862271348149,-0.04669741850401721,0.7561869863931675,0.01600789548155673,0.15335016803551196,14.222602844238281,802,515
cgsm_dual,47,speed10,-0.00151442209164189,0.02403240898205361,-0.022346383143072666,0.020764584733222995,0.0897829339615669,8.712852478027344,674,506
cgsm_dual,59,baseline,-0.16847777450175716,-0.0006660387540957657,-0.5054611491108694,0.0362487662806183,0.13646554668027627,18.12615966796875,887,549
cgsm_dual,59,wind5,-0.030747940613963298,-0.016743645644712757,-0.05374374187742237,0.009951976745655764,0.1437937481287285,3.206451416015625,986,532
cgsm_dual,59,speed15,-0.14443157644650034,0.06050414425545192,-0.30081777520838626,0.1774127357705706,0.2440506063635193,43.00457000732422,702,484
cgsm_dual,59,alt180,0.3351306362323191,-0.05115296172596118,0.7091901313857247,0.01843114208402182,0.15994579774185905,7.4945831298828125,802,501
cgsm_dual,59,speed10,-0.024804655142982274,0.03133121532927419,-0.0832003881209682,0.07436593562276143,0.1247976763665853,25.035072326660156,674,478
cgsm_dual,71,baseline,-0.19754855703434565,-0.028794990135265763,-0.5250084888370625,0.03509082714895788,0.1309655547948405,17.878997802734375,887,534
cgsm_dual,71,wind5,-0.04889801487851014,-0.0030959782685826553,-0.18684711674526788,0.02096976445606224,0.15279313432275646,3.9120216369628906,986,549
cgsm_dual,71,speed15,0.05664619118243425,0.12510049077067187,0.039100550603323174,0.17677555668387998,0.23006746521023264,45.96272659301758,702,483
cgsm_dual,71,alt180,0.4452207534147185,-0.07294209270018648,0.5879454101038692,0.03288978115281559,0.16648943079380027,22.09832763671875,802,512
cgsm_dual,71,speed10,-0.06280176120281494,0.01250220361699661,-0.09734228056598487,0.03576261753586704,0.09164637793684571,6.356880187988281,674,478
