method,seed,task,initial_tp,initial_fn,initial_fp,initial_tn,initial_fnr,initial_fpr,final_tp,final_fn,final_fp,final_tn,final_fnr,final_fpr,delta_fnr,delta_fpr
finetune,107,speed15,116,12,10,772,0.09375,0.01278772378516624,114,14,23,759,0.109375,0.029411764705882353,0.015625,0.016624040920716114
finetune,107,alt180,132,8,10,627,0.05714285714285714,0.015698587127158554,130,10,11,626,0.07142857142857142,0.01726844583987441,0.014285714285714284,0.0015698587127158554
finetune,107,speed10,107,17,14,826,0.13709677419354838,0.016666666666666666,105,19,61,779,0.1532258064516129,0.07261904761904762,0.01612903225806453,0.05595238095238096
reservoir,7,baseline,153,10,14,513,0.06134969325153374,0.026565464895635674,154,9,15,512,0.05521472392638037,0.028462998102466792,-0.0061349693251533735,0.001897533206831118
reservoir,7,wind5,106,8,16,407,0.07017543859649122,0.037825059101654845,106,8,17,406,0.07017543859649122,0.04018912529550828,0.0,0.0023640661938534313
reservoir,7,speed15,117,11,11,771,0.0859375,0.014066496163682864,116,12,11,771,0.09375,0.014066496163682864,0.0078125,0.0
reservoir,7,alt180,133,7,12,625,0.05,0.018838304552590265,130,10,10,627,0.07142857142857142,0.015698587127158554,0.021428571428571422,-0.003139717425431711
reservoir,7,speed10,110,14,16,824,0.11290322580645161,0.01904761904761905,108,16,19,821,0.12903225806451613,0.02261904761904762,0.016129032258064516,0.003571428571428569
reservoir,11,baseline,151,12,12,515,0.0736196319018405,0.022770398481973434,153,10,15,512,0.06134969325153374,0.028462998102466792,-0.012269938650306754,0.005692599620493358
reservoir,11,wind5,105,9,18,405,0.07894736842105263,0.0425531914893617,107,7,16,407,0.06140350877192982,0.037825059101654845,-0.017543859649122806,-0.004728132387706856
reservoir,11,speed15,116,12,12,770,0.09375,0.015345268542199489,114,14,12,770,0.109375,0.015345268542199489,0.015625,0.0
reservoir,11,alt180,134,6,10,627,0.04285714285714286,0.015698587127158554,130,10,10,627,0.07142857142857142,0.015698587127158554,0.028571428571428567,0.0
reservoir,11,speed10,109,15,15,825,0.12096774193548387,0.017857142857142856,109,15,16,824,0.12096774193548387,0.01904761904761905,0.0,0.0011904761904761932
reservoir,23,baseline,153,10,13,514,0.06134969325153374,0.024667931688804556,152,11,16,511,0.06748466257668712,0.030360531309297913,0.0061349693251533735,0.005692599620493358
reservoir,23,wind5,105,9,17,406,0.07894736842105263,0.04018912529550828,106,8,18,405,0.07017543859649122,0.0425531914893617,-0.008771929824561403,0.0023640661938534244
reservoir,23,speed15,116,12,12,770,0.09375,0.015345268542199489,114,14,12,770,0.109375,0.015345268542199489,0.015625,0.0
reservoir,23,alt180,133,7,11,626,0.05,0.01726844583987441,131,9,10,627,0.06428571428571428,0.015698587127158554,0.014285714285714277,-0.0015698587127158554
reservoir,23,speed10,110,14,12,828,0.11290322580645161,0.014285714285714285,110,14,16,824,0.11290322580645161,0.01904761904761905,0.0,0.004761904761904764
reservoir,47,baseline,154,9,15,512,0.05521472392638037,0.028462998102466792,153,10,14,513,0.06134969325153374,0.026565464895635674,0.0061349693251533735,-0.001897533206831118
reservoir,47,wind5,106,8,18,405,0.07017543859649122,0.0425531914893617,104,10,18,405,0.08771929824561403,0.0425531914893617,0.017543859649122806,0.0
reservoir,47,speed15,117,11,11,771,0.0859375,0.014066496163682864,115,13,10,772,0.1015625,0.01278772378516624,0.015625,-0.0012787723785166235
reservoir,47,alt180,135,5,11,626,0.03571428571428571,0.01726844583987441,132,8,12,625,0.05714285714285714,0.018838304552590265,0.02142857142857143,0.0015698587127158554
reservoir,47,speed10,109,15,12,828,0.12096774193548387,0.014285714285714285,108,16,15,825,0.12903225806451613,0.017857142857142856,0.008064516129032251,0.003571428571428571
reservoir,59,baseline,153,10,14,513,0.06134969325153374,0.026565464895635674,151,12,14,513,0.0736196319018405,0.026565464895635674,0.012269938650306754,0.0
reservoir,59,wind5,107,7,18,405,0.06140350877192982,0.0425531914893617,108,6,17,406,0.05263157894736842,0.04018912529550828,-0.008771929824561403,-0.0023640661938534244
reservoir,59,speed15,117,11,11,771,0.0859375,0.014066496163682864,115,13,11,771,0.1015625,0.014066496163682864,0.015625,0.0
reservoir,59,alt180,134,6,9,628,0.04285714285714286,0.0141287284144427,134,6,11,626,0.04285714285714286,0.01726844583987441,0.0,0.003139717425431709
reservoir,59,speed10,108,16,13,827,0.12903225806451613,0.015476190476190477,111,13,13,827,0.10483870967741936,0.015476190476190477,-0.024193548387096767,0.0
reservoir,71,baseline,152,11,12,515,0.06748466257668712,0.022770398481973434,152,11,14,513,0.06748466257668712,0.026565464895635674,0.0,0.0037950664136622396
reservoir,71,wind5,107,7,17,406,0.06140350877192982,0.04018912529550828,105,9,16,407,0.07894736842105263,0.037825059101654845,0.017543859649122806,-0.0023640661938534313
reservoir,71,speed15,116,12,11,771,0.09375,0.014066496163682864,116,12,7,775,0.09375,0.008951406649616368,0.0,-0.005115089514066496
reservoir,71,alt180,131,9,10,627,0.06428571428571428,0.015698587127158554,132,8,10,627,0.05714285714285714,0.015698587127158554,-0.007142857142857138,0.0
reservoir,71,speed10,108,16,14,826,0.12903225806451613,0.016666666666666666,109,15,18,822,0.12096774193548387,0.02142857142857143,-0.008064516129032251,0.004761904761904762
reservoir,89,baseline,152,11,15,512,0.06748466257668712,0.028462998102466792,153,10,15,512,0.06134969325153374,0.028462998102466792,-0.0061349693251533735,0.0
reservoir,89,wind5,107,7,16,407,0.06140350877192982,0.037825059101654845,106,8,18,405,0.07017543859649122,0.0425531914893617,0.008771929824561403,0.004728132387706856
reservoir,89,speed15,117,11,14,768,0.0859375,0.017902813299232736,117,11,10,772,0.0859375,0.01278772378516624,0.0,-0.005115089514066496
reservoir,89,alt180,132,8,11,626,0.05714285714285714,0.01726844583987441,130,10,12,625,0.07142857142857142,0.018838304552590265,0.014285714285714284,0.0015698587127158554
reservoir,89,speed10,110,14,12,828,0.11290322580645161,0.014285714285714285,110,14,14,826,0.11290322580645161,0.016666666666666666,0.0,0.002380952380952381
reservoir,107,baseline,154,9,13,514,0.05521472392638037,0.024667931688804556,152,11,15,512,0.06748466257668712,0.028462998102466792,0.012269938650306747,0.003795066413662236
reservoir,107,wind5,104,10,17,406,0.08771929824561403,0.04018912529550828,106,8,16,407,0.07017543859649122,0.037825059101654845,-0.017543859649122806,-0.0023640661938534313
reservoir,107,speed15,117,11,11,771,0.0859375,0.014066496163682864,115,13,9,773,0.1015625,0.011508951406649617,0.015625,-0.002557544757033247
reservoir,107,alt180,131,9,10,627,0.06428571428571428,0.015698587127158554,133,7,10,627,0.05,0.015698587127158554,-0.014285714285714277,0.0
reservoir,107,speed10,112,12,13,827,0.0967741935483871,0.015476190476190477,110,14,12,828,0.11290322580645161,0.014285714285714285,0.016129032258064516,-0.0011904761904761915
gss_adapted,7,baseline,153,10,14,513,0.06134969325153374,0.026565464895635674,151,12,13,514,0.0736196319018405,0.024667931688804556,0.012269938650306754,-0.001897533206831118
gss_adapted,7,wind5,106,8,19,404,0.07017543859649122,0.04491725768321513,105,9,17,406,0.07894736842105263,0.04018912529550828,0.008771929824561403,-0.004728132387706856
gss_adapted,7,speed15,117,11,11,771,0.0859375,0.014066496163682864,116,12,11,771,0.09375,0.014066496163682864,0.0078125,0.0
gss_adapted,7,alt180,133,7,12,625,0.05,0.018838304552590265,133,7,10,627,0.05,0.015698587127158554,0.0,-0.003139717425431711
gss_adapted,7,speed10,108,16,12,828,0.12903225806451613,0.014285714285714285,110,14,16,824,0.11290322580645161,0.01904761904761905,-0.016129032258064516,0.004761904761904764
gss_adapted,11,baseline,151,12,12,515,0.0736196319018405,0.022770398481973434,153,10,15,512,0.06134969325153374,0.028462998102466792,-0.012269938650306754,0.005692599620493358
gss_adapted,11,wind5,105,9,17,406,0.07894736842105263,0.04018912529550828,106,8,18,405,0.07017543859649122,0.0425531914893617,-0.008771929824561403,0.0023640661938534244
gss_adapted,11,speed15,117,11,12,770,0.0859375,0.015345268542199489,117,11,11,771,0.0859375,0.014066496163682864,0.0,-0.0012787723785166252
